"Product Name","Product ID","SKU","Size","Color","Price","Currency","Fulfillment Location","Store Name","Stock Location","On Hand"
"BUCKSHOT T-SHIRT","703060859204","F1420237978-1-Wht-L-THA","L","WhiteStag",60.0,"USD","50003","Portland","Main",0
"BUCKSHOT T-SHIRT","703060859211","F1420237978-1-Wht-XS-THA","XS","WhiteStag",60.0,"USD","50003","Portland","Main",0
"BUCKSHOT T-SHIRT","703060859228","F1420237978-1-Wht-XL-THA","XL","WhiteStag",60.0,"USD","50003","Portland","Main",0
"BUCKSHOT T-SHIRT","703060859235","F1420237978-1-Wht-2XL-THA","XXL","WhiteStag",60.0,"USD","50003","Portland","Main",0
"FRONT POCKET CASH & CARD CASE","703060859563","F0320234680-1-Tan-OS-USA","One Size","TanLeather",119.0,"USD","50003","Portland","Main",0
"BI-FOLD WALLET","703060859594","F0320234679-1-Tan-OS-USA","One Size","TanLeather",179.0,"USD","50003","Portland","Main",5
"MECHANIC'S BOX W/ REMOVABLE TRAY","703060859686","F20234037-1-Black-000000110","One Size","Black",150.0,"USD","50003","Portland","Main",0
"STANDARD TOOLBOX W/ REMOVABLE TRAY","703060859709","F20234029-1-Black-000000110","One Size","Black",220.0,"USD","50003","Portland","Main",0
"LOCK BOX W/ KEY","703060859723","F20234131-1-Black-000000110","One Size","Black",80.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860378","F20248629-1-BWtMchStck-019447351","S","BWtMchStck",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860385","F20248629-1-SGrnSailMn-019447352","S","SGrnSailMn",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT SLEEVE T-SHIRT (FAST TRACK)","703060860392","F20248629-1-RgTnArfArf-019447353","S","RgTnArfArf",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860408","F20248629-1-BWtMchStck-019447354","M","BWtMchStck",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860415","F1420248629-1-ServiceGrn-M","M","SGrnSailMn",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT SLEEVE T-SHIRT (FAST TRACK)","703060860422","F20248629-1-RgTnArfArf-019447356","M","RgTnArfArf",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860439","F20248629-1-BWtMchStck-019447357","L","BWtMchStck",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860446","F1420248629-1-ServiceGrn-L","L","SGrnSailMn",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT SLEEVE T-SHIRT (FAST TRACK)","703060860453","F20248629-1-RgTnArfArf-019447359","L","RgTnArfArf",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860460","F20248629-1-BWtMchStck-019447360","XS","BWtMchStck",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860477","F20248629-1-SGrnSailMn-019447361","XS","SGrnSailMn",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT SLEEVE T-SHIRT (FAST TRACK)","703060860484","F20248629-1-RgTnArfArf-019447362","XS","RgTnArfArf",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860491","F20248629-1-BWtMchStck-019447363","XL","BWtMchStck",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860507","F20248629-1-SGrnSailMn-019447364","XL","SGrnSailMn",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT SLEEVE T-SHIRT (FAST TRACK)","703060860514","F1420248629-1-RuggedTan-XL","XL","RgTnArfArf",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860521","F20248629-1-BWtMchStck-019447366","XXL","BWtMchStck",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT-SLEEVE T-SHIRT (FAST TRACK)","703060860538","F20248629-1-SGrnSailMn-019447367","XXL","SGrnSailMn",50.0,"USD","50003","Portland","Main",0
"POPEYE SHORT SLEEVE T-SHIRT (FAST TRACK)","703060860545","F20248629-1-RgTnArfArf-019447368","XXL","RgTnArfArf",50.0,"USD","50003","Portland","Main",0
"JAC-SHIRT (FAST TRACK) (STARTING FW23 MACKINAW WOOL JAC-SHIRT)","703060861306","F1420249128-1-OtGrnBlkPd-L-USA","L","OtGrnBlack",296.25,"USD","50003","Portland","Main",0
"SHELTER CLOTH DOG COAT","703060861481","F0820233385-1-DkTan-S-VNM","S","DarkTan",119.0,"USD","50003","Portland","Main",0
"SHELTER CLOTH DOG COAT","703060861498","F0820233385-1-DkTan-M-VNM","M","DarkTan",110.0,"USD","50003","Portland","Main",0
